Konkani,Hindi,Konkani_Rule_POS
प्रचार,प्रचार,प्रचार/NOUN
जांचेर,जांचेर,जांचेर/NOUN
अन्न,खाना,अन्न/NOUN
स्वस्थ,स्वस्थ,स्वस्थ/NOUN
जिणेची,ज़िंदगी,जिणेची/NOUN
शैली,शैली,शैली/ADJ
आपणायात,यो,आपणायात/NOUN
धुम्रपान,धुआँ,धुम्रपान/NOUN
मद्यपान,मद्यपान,मद्यपान/PRON
वखदांचें,दवा का,वखदांचें/NOUN
तन,तन,तन/NOUN
प्रसन्न,प्रसन्न,प्रसन्न/NOUN
नितळसाणीचेर,स्वच्छता,नितळसाणीचेर/NOUN
दियात,दे देना,दियात/NOUN
दवाखान्यांत,क्लिनिक में,दवाखान्यांत/NOUN
लोकांक,लोग,लोकांक/NOUN
करिनासप,मैं काम नहीं चलेगा,करिनासप/NOUN
गुन्यांव,गुनाव,गुन्यांव/NOUN
दुयेंतीचें,मरीज,दुयेंतीचें/NOUN
राखप,बनाए रखना,राखप/NOUN
तांच्या,वे हैं,तांच्या/ADJ
घरच्या,घर पर,घरच्या/ADJ
दिवप,देना,दिवप/NOUN
सगले,आस्तीन,सगले/ADJ
एकासारके,एकमत,एकासारके/NOUN
वेगळोचार,स्पेशलिटी,वेगळोचार/NOUN
कसलो,किस तरह का,कसलो/ADJ
संसर्गजन्य,संक्रामक,संसर्गजन्य/NOUN
बादिकार,बादिकार,बादिकार/NOUN
जाल्लो,अमोरे,जाल्लो/ADJ
जगता,जिया जाता है,जगता/NOUN
मनशां,लोग,मनशां/PRON
वेगळेचार,विशिष्ट,वेगळेचार/NOUN
तांचेर,वे उनके साथ कवर हैं,तांचेर/NOUN
अन्याय,अन्याय,अन्याय/NOUN
अडाणीपणाचें,मूर्ख,अडाणीपणाचें/NOUN
ऑफिसांत,कार्यालय में,ऑफिसांत/NOUN
घरांत,घर,घरांत/NOUN
इश्टां,दोस्तों के दोस्त,इश्टां/NOUN
तांचे,उनका,तांचे/NOUN
भशेनूच,भशेनूच,भशेनूच/NOUN
वागणूक,व्यवहार,वागणूक/NOUN
आसची,वहाँ हैं,आसची/NOUN
दृश्टीहीणटायेचे,दृश्यमान,दृश्टीहीणटायेचे/NOUN
व्यापकतायेचें,विस्तृत,व्यापकतायेचें/NOUN
14,14,14/NOUN
व्यापक,व्यापक,व्यापक/NOUN
3,3,03/NOUN
प्रतिशेंचेर,प्रतिशेंचेर,प्रतिशेंचेर/NOUN
हाडपा,दस्ताने,हाडपा/NOUN
भारत,भारत,भारत/NOUN
सरकारान,सरकार,सरकारान/NOUN
1976,1976,1976/NOUN
राष्ट्रीय,राष्ट्रीय,राष्ट्रीय/NOUN
दृश्टीहीणटायेच्या,प्राकृतिक दृश्य,दृश्टीहीणटायेच्या/ADJ
निवारणाची,निवारक,निवारणाची/NOUN
कार्यावळ,दिखाना,कार्यावळ/NOUN
केल्ली,केल,केल्ली/ADJ
दृश्टीहीणटायेचें,एक दूरदर्शी VisualHinath,दृश्टीहीणटायेचें/NOUN
वट्ट,परिवार,वट्ट/NOUN
कुड्डेपणाच्या,गले लगाना,कुड्डेपणाच्या/ADJ
55,55,55/NOUN
दृश्टीहीणटाय,दृश्यवाद,दृश्टीहीणटाय/NOUN
निवारण,निवारण,निवारण/NOUN
कार्यावळी,प्रतियोगिता,कार्यावळी/NOUN
अंतर्गत,अंतर्गत,अंतर्गत/NOUN
दृश्टीहीण,प्राकृतिक दृश्य,दृश्टीहीण/NOUN
जांकां,उन लोगों के लिए जो,जांकां/NOUN
ओपेरासांव,ओपेरासांव,ओपेरासांव/NOUN
लाबकारी,लाबकारी,लाबकारी/NOUN
शस्त्रक्रियेचे,शल्य चिकित्सा,शस्त्रक्रियेचे/NOUN
गुणवत्तेचेर,गुणवत्ता,गुणवत्तेचेर/NOUN
जिल्लो,जिला,जिल्लो/ADJ
चिकित्सालय,चिकित्सालय,चिकित्सालय/NOUN
प्राथमीक,प्रारंभिक,प्राथमीक/NOUN
चिकित्सालयांक,चिकित्सालयांक,चिकित्सालयांक/NOUN
मायक्रोस्कोपीक,सूक्ष्म,मायक्रोस्कोपीक/PRON
क्रेंदांत,क्रेंदांत,क्रेंदांत/NOUN
परिवर्तीत,परिवर्तित,परिवर्तीत/NOUN
करपाचें,करने के लिए,करपाचें/NOUN
दृश्टीदोशाचे,दूरदर्शी दृष्टि का,दृश्टीदोशाचे/NOUN
शिक्षण,शिक्षा,शिक्षण/NOUN
सत्राचे,सत्र,सत्राचे/NOUN
शाळेच्या,स्कूल छोड़ दिया,शाळेच्या/ADJ
विद्यार्थ्यांच्या,छात्रों का,विद्यार्थ्यांच्या/ADJ
दोळ्यांचे,कुंडी,दोळ्यांचे/NOUN
तपासणेची,निरीक्षण,तपासणेची/NOUN
अभियानाच्या,उद्देश्य,अभियानाच्या/ADJ
चलयतात,दौड़ना,चलयतात/VERB
दृश्टीदोशाक,Dristidoshkk,दृश्टीदोशाक/NOUN
पिडीत,पीड़ित,पिडीत/NOUN
गरीब,गरीब,गरीब/NOUN
विद्यार्थ्यांक,विद्यार्थी,विद्यार्थ्यांक/NOUN
फुकट,मुक्त,फुकट/NOUN
ओक्लां,ओक्लां,ओक्लां/NOUN
दोळ्याची,नेत्र,दोळ्याची/NOUN
करपाच्या,कर योग्य,करपाच्या/ADJ
कार्यावळींनी,"1,",कार्यावळींनी/NOUN
सरकारी,सरकार,सरकारी/NOUN
बिगर,गैर,बिगर/NOUN
आपवावुरपी,आपवावुरपी,आपवावुरपी/NOUN
संस्थांचो,संस्थानों का मौन,संस्थांचो/ADJ
पालव,पायलट,पालव/NOUN
सरकारा,सरकार,सरकारा/NOUN
नेत्र,नेत्र,नेत्र/NOUN
विभागाच्या,का,विभागाच्या/ADJ
कर्मचार्‍यांक,व्यक्तिगत कर्मचारी,कर्मचार्‍यांक/NOUN
वेगळ्या,अलग,वेगळ्या/NOUN
पांवड्यार,विद्यार्थी,पांवड्यार/NOUN
प्रशिक्षण,प्रशिक्षण,प्रशिक्षण/NOUN
दृश्टीदोशाचें,ऑडिओलाइट्स की,दृश्टीदोशाचें/NOUN
नदरेचे,नोड्रे,नदरेचे/NOUN
दोश,डुबाना,दोश/NOUN
19,19,19/NOUN
मोतिया,मोतिया,मोतिया/PRON
4,4,4/NOUN
कॉर्नियल,कॉर्निया,कॉर्नियल/NOUN
पॅथॉलोजी,पॅथॉलोजी,पॅथॉलोजी/NOUN
सात,सात,सात/NOUN
लॅन्स,लेन,लॅन्स/PART
ताचो,यह,ताचो/ADJ
बिजकोश,बिजकोश,बिजकोश/NOUN
धवसार,घिसना,धवसार/NOUN
धवोफुल्ल,धवोफुल्ल,धवोफुल्ल/NOUN
दोळ्या,लंबा:,दोळ्या/NOUN
उजवाड,रोशनी,उजवाड/NOUN
पावूंक,हम ocepts तक पहुंच गए हैं,पावूंक/NOUN
शकना,संयुक्त राष्ट्र,शकना/NOUN
पिडेस्ताक,पीड़ित है,पिडेस्ताक/NOUN
धुंसर,धुंसर,धुंसर/NOUN
मोतीबिंदूच्या,मोतियाबिंद,मोतीबिंदूच्या/ADJ
पिडेस्तांची,करुणामय,पिडेस्तांची/NOUN
चिकित्सा,चिकित्सा,चिकित्सा/NOUN
अधिकारी,अधिकारी,अधिकारी/NOUN
दोळ्यांचो,आंखों का,दोळ्यांचो/ADJ
क्षेत्रांत,क्षेत्र में,क्षेत्रांत/NOUN
स्क्रिनींग,स्क्रिनींग,स्क्रिनींग/NOUN
ताचे,यह,ताचे/NOUN
पिडेस्तांचें,बीमारों की पीड़ा।,पिडेस्तांचें/NOUN
सुसज्ज,लैस,सुसज्ज/NOUN
सप्तकां,सप्तकां,सप्तकां/NOUN
ओक्लाची,ओकलाची,ओक्लाची/NOUN
समिती,समिति,समिती/NOUN
खाशेल्या,खशेल,खाशेल्या/NOUN
संस्थांच्या,संस्थागत,संस्थांच्या/ADJ
माध्यमा,बीच में,माध्यमा/PRON
वरवीं,द्वारा,वरवीं/NOUN
शिबिरां,शिविर,शिबिरां/NOUN
मोतीबिंदूचो,मोतियाबिंद के मोतियाबिंद,मोतीबिंदूचो/ADJ
शल्यचिकित्शेन,सर्जन,शल्यचिकित्शेन/NOUN
शक्य,संभव,शक्य/NOUN
इण्ट्रा,इण्ट्रा,इण्ट्रा/NOUN
कॅप्सुलर,सम्पुटी,कॅप्सुलर/NOUN
कॅटरॅक्ट,कैटरकारेट,कॅटरॅक्ट/NOUN
एक्सट्रॅक्शन,एक्सट्रॅक्शन,एक्सट्रॅक्शन/NOUN
विधीन,विधीन,विधीन/NOUN
कॅप्सूल,कैप्सूल,कॅप्सूल/NOUN
काडटात,ब्रेकेट्स,काडटात/NOUN
ओक्लाचो,प्रासंगिक,ओक्लाचो/ADJ
प्रत्यारोपण,ट्रांसप्लांटेशन,प्रत्यारोपण/NOUN
दोळ्याच्या,चुनाव,दोळ्याच्या/ADJ
फुडल्या,आगे फ्रैस,फुडल्या/NOUN
भागांत,क्षेत्रों में,भागांत/NOUN
आयरिसा,आयरिसा,आयरिसा/NOUN
एक्स्ट्रा,एक्स्ट्रा,एक्स्ट्रा/NOUN
एक्स्ट्रॅक्शन,निष्कर्षण,एक्स्ट्रॅक्शन/NOUN
मुखा,फेस,मुखा/PRON
वयल्या,सबसे ऊपर,वयल्या/NOUN
कॅप्स्युलाचो,कैप्सुला,कॅप्स्युलाचो/ADJ
भाग,भाग,भाग/NOUN
मॅटर,मामला,मॅटर/PRON
फाटलो,संदर्भ देना,फाटलो/ADJ
सोडटात,छोड़ देता है,सोडटात/NOUN
कॅपस्यूलर,कॅपस्यूलर,कॅपस्यूलर/NOUN
वॅगांत,वागों में,वॅगांत/NOUN
बसयतात,बैठक,बसयतात/VERB
SISC,एसआईएससी,SISC/NOUN
(,,(/NOUN
Small,छोटा,Small/NOUN
Incision,चीरा,Incision/NOUN
Cataract,मोतियाबिंद,Cataract/NOUN
Surgery,शल्य चिकित्सा,Surgery/NOUN
),,)/NOUN
मिमीचो,मिमी ऑफ माइम,मिमीचो/ADJ
बाकीचो,बाकीचो,बाकीचो/ADJ
विधी,धार्मिक संस्कार,विधी/NOUN
ECCE,ईसीसीई,ECCE/NOUN
IOL,आईओएल,IOL/NOUN
SICS,सिक्स,SICS/NOUN
मारिनात,मारिनात,मारिनात/NOUN
मोतीबिंदूंत,मोतियाबिंद में मोतियाबिंद,मोतीबिंदूंत/NOUN
दोळ्यांत,आंखें,दोळ्यांत/NOUN
वाडिल्ल्या,जोर दिया गया,वाडिल्ल्या/NOUN
कारणान,क्योंकि इसे कहा जाता है,कारणान/NOUN
तितलें,आराधना,तितलें/NOUN
पावनाशिल्ल्या,वे नीचे नहीं गिर रहे थे,पावनाशिल्ल्या/NOUN
मोतीबिंदूची,सूची,मोतीबिंदूची/PRON
बेगीन,जल्दी,बेगीन/NOUN
जाली,जाली,जाली/ADJ
वेळा,समय,वेळा/NOUN
रावली,रावली,रावली/ADJ
आडावं,शहतूत,आडावं/NOUN
दोळ्यांचेर,आंखों पर,दोळ्यांचेर/NOUN
कुटुंबांत,परिवार में,कुटुंबांत/NOUN
कोणाकूय,किसी को,कोणाकूय/NOUN
चडश्या,के सबसे,चडश्या/NOUN
दुयेंतीं,मरीजों,दुयेंतीं/NOUN
दोळ्यांतल्यान,आंख के माध्यम से,दोळ्यांतल्यान/NOUN
वचपाचो,जा रहा है,वचपाचो/ADJ
उकतो,उबलना,उकतो/NOUN
भितरलो,अंतर्देशीय,भितरलो/ADJ
वाडत,एडू,वाडत/NOUN
तंत्रिका,तंत्रिका,तंत्रिका/NOUN
दुयेंती,धरना,दुयेंती/NOUN
आशिकुशीच्यो,आशिकुशिचो,आशिकुशीच्यो/NOUN
वस्तू,माल,वस्तू/NOUN
पळोवपाक,विद्यार्थी,पळोवपाक/VERB
केलोना,नहीं किया,केलोना/NOUN
नदरूय,नीड,नदरूय/NOUN
वचपाक,जागता हुआ,वचपाक/VERB
येतकच,जब आप गिरते हैं,येतकच/NOUN
रोग्यान,राइन,रोग्यान/NOUN
घेवपाक,पाने के,घेवपाक/VERB
उजवाडांत,प्रकाश में smetics,उजवाडांत/NOUN
इंद्रधोणवा,इंद्रधोणवा,इंद्रधोणवा/NOUN
रंगीत,रंगीन,रंगीत/NOUN
गुळे,लाईन,गुळे/NOUN
दिसप,देखना,दिसप/NOUN
लॅन्सान,लान्सन,लॅन्सान/NOUN
यंत्रान,मशीन,यंत्रान/NOUN
तंत्रिकाची,नर्वस,तंत्रिकाची/NOUN
फिल्ड,मैदान,फिल्ड/NOUN
टॅस्ट,परीक्षण,टॅस्ट/NOUN
पळयतना,देखो देखो,पळयतना/NOUN
कुशीच्या,तकिया,कुशीच्या/ADJ
वस्तूंक,वस्तुओं,वस्तूंक/NOUN
पळोवपाचे,देखा जाना,पळोवपाचे/NOUN
तांकीची,मुद्रा का उत्पादन तंग,तांकीची/NOUN
लॅन्सा,लॅन्सा,लॅन्सा/NOUN
भागाक,भाग,भागाक/NOUN
पळोवं,मंडप,पळोवं/NOUN
जंय,कहाँ,जंय/NOUN
अशा,इस प्रकार,अशा/NOUN
केंद्रांची,केन्द्रों,केंद्रांची/NOUN
कॉर्निया,कॉर्निया,कॉर्निया/NOUN
अखेरेक,अंत में,अखेरेक/NOUN
हुरहुर्‍याचे,घाव,हुरहुर्‍याचे/NOUN
कुपोशणाचे,विकृत,कुपोशणाचे/NOUN
जिवनसत्व-एचें,ज़िंदगी,जिवनसत्व-एचें/NOUN
उणेपण,कमी,उणेपण/NOUN
जिवनसत्व-एच्या,ज़िंदगी,जिवनसत्व-एच्या/ADJ
उणावान,बलिदान,उणावान/NOUN
रातांधळेपण,पारिवारिक बनाना,रातांधळेपण/NOUN
येवं,गोन,येवं/NOUN
प्रमाणाच्या,अनुपात,प्रमाणाच्या/ADJ
उणावाक,उणावाक,उणावाक/NOUN
कुपोशणांत,कूपन,कुपोशणांत/NOUN
जिवनसत्व-एची,जीवन के लिए खतरा,जिवनसत्व-एची/NOUN
सोकणी,सोकणी,सोकणी/NOUN
हुरहुर्‍याच्या,जटिल,हुरहुर्‍याच्या/ADJ
मागणी,माँग,मागणी/PRON
धवें,सफ़ेद,धवें/NOUN
पटल,पैनल,पटल/NOUN
सुकता,सुकता,सुकता/NOUN
बिटोटस,बिटोटस,बिटोटस/PART
स्पॉटस,स्पॉटस,स्पॉटस/PART
धव्या,नस्ल,धव्या/NOUN
पटलाचे,पैनल,पटलाचे/NOUN
धवे,सफ़ेद,धवे/NOUN
दाग,दाग,दाग/NOUN
रातांधळेपणा,रात,रातांधळेपणा/NOUN
वाटावपा,डॉट,वाटावपा/NOUN
चवळेची,चबाना,चवळेची/NOUN
भाजी,रीढ़ की हड्डी,भाजी/NOUN
मेथयेची,कट्टरपंथी,मेथयेची/PRON
कोबी,पत्ता गोभी,कोबी/NOUN
कोथंबीर,कोथंबीर,कोथंबीर/NOUN
पोपाय,पपीता,पोपाय/NOUN
आंबो,आम,आंबो/NOUN
आवयक,माँ का,आवयक/NOUN
दुदा,दुदा,दुदा/NOUN
उरबा,उरबा,उरबा/NOUN
हुरहुर्‍याचें,तूफान,हुरहुर्‍याचें/NOUN
तोंपप,तोंपप,तोंपप/NOUN
एचो,एचो,एचो/ADJ
डोस,खुराक,डोस/PART
1,1,1/NOUN
आययू,आययू,आययू/NOUN
हुरहुर्‍याची,जटिल,हुरहुर्‍याची/NOUN
लस,टीका,लस/PART
तोंप्पा,तोंप्पा,तोंप्पा/NOUN
3,3,3/NOUN
2,2,2/NOUN
म्हयन्यांच्या,पुरोहित,म्हयन्यांच्या/ADJ
अंतरान,दूरी,अंतरान/NOUN
दिवपाक,दे देना,दिवपाक/VERB
कुपोशणान,कुपोशणान,कुपोशणान/NOUN
रुबेलाक,रुबेलाक,रुबेलाक/NOUN
कॉञ्जॅनिटल,संयोग,कॉञ्जॅनिटल/NOUN
कॅटरॅक्टा,कैटरकार्टा,कॅटरॅक्टा/NOUN
40,40,40/NOUN
भुरगीं,बच्चे,भुरगीं/NOUN
दोळ्यान,लंबा,दोळ्यान/NOUN
कुड्डीं,कुड्डीं,कुड्डीं/NOUN
सुरक्षे,पीड़ा,सुरक्षे/NOUN
विशीं,बारे में,विशीं/NOUN
शिक्षीत,शिक्षित,शिक्षीत/NOUN
फोगेट्यांच्या,कोहरा,फोगेट्यांच्या/ADJ
कारखान्यांतल्या,फैक्ट्री,कारखान्यांतल्या/NOUN
अपघातांत,दुर्घटनाओं में,अपघातांत/NOUN
रोहों,रोहों,रोहों/NOUN
पर्यावरणीय,पर्यावरणीय,पर्यावरणीय/NOUN
सांडउदकाचो,सैंडुडक का,सांडउदकाचो/ADJ
विलो,जलो,विलो/ADJ
लावपाचेर,सख्त,लावपाचेर/NOUN
घेवप,लेने के,घेवप/NOUN
ल्हव,ग्रैडु,ल्हव/NOUN
दुखनासतना,दुखनासतना,दुखनासतना/NOUN
म्हयन्यान,महीने के महीने,म्हयन्यान/PRON
वर्सान,एक साल का साल पुराना,वर्सान/NOUN
इल्ली,इल्ली,इल्ली/ADJ
बावली,बावली,बावली/ADJ
गोबर्‍या,गोद,गोबर्‍या/NOUN
रंगाची,रंग,रंगाची/NOUN
धवी,सफ़ेद,धवी/NOUN
उजवाडाची,प्रकाश की क्रिया,उजवाडाची/NOUN
पटलाचेर,"पैच पर,",पटलाचेर/NOUN
पडनात,काएं,पडनात/NOUN
पटला,तह करना,पटला/NOUN
फाटल्यान,निम्नलिखित का पालन करें,फाटल्यान/NOUN
उजवाडाचीं,प्रकाश का,उजवाडाचीं/NOUN
एकठांय,साथ-साथ,एकठांय/NOUN
डॉक्टरा,डॉक्टरा,डॉक्टरा/NOUN
लागींच्यो,बहुत,लागींच्यो/NOUN
साफ,साफ,साफ/NOUN
पयशिल्यो,पैसे के लिए था,पयशिल्यो/NOUN
पळोवपा,फीका,पळोवपा/NOUN
लागीं,कुंडी,लागीं/NOUN
हाडटा,लाता है,हाडटा/NOUN
वर्गांत,कक्षा में,वर्गांत/NOUN
विद्यार्थी,विद्यार्थी,विद्यार्थी/NOUN
फळ्याच्या,कंकड़,फळ्याच्या/ADJ
सामकें,सामकें,सामकें/NOUN
बसपाचो,चकराना,बसपाचो/ADJ
तरण्या,तैरना,तरण्या/NOUN
भुरग्यां,बच्चे,भुरग्यां/NOUN
उसळप,उसळप,उसळप/NOUN
जडसाण,जडसाण,जडसाण/NOUN
वाचपाक,पढ़ने के लिए,वाचपाक/VERB
मासपेशींचे,मासपेशींचे,मासपेशींचे/PRON
अशक्ततायेक,अशक्ततायेक,अशक्ततायेक/NOUN
आपलो,अपु,आपलो/ADJ
बदलपाक,परिवर्तन परिवर्तन,बदलपाक/VERB
वाचतना,को पढ़िए,वाचतना/NOUN
लागींचीं,एक पास,लागींचीं/NOUN
करतना,ये करते समय,करतना/NOUN
वयले,ऊपर उठाता है,वयले/ADJ
पिरायेर,उम्र में,पिरायेर/NOUN
पळोवंक,एस वॉच टू वॉच,पळोवंक/NOUN
पयसुलें,पयसुलें,पयसुलें/NOUN
बरयतना,जब मैं लिख रहा था,बरयतना/NOUN
खंयचेंय,कोई,खंयचेंय/NOUN
लागींचें,आस-पास,लागींचें/NOUN
धुंवरेल्लें,धुंवरेल्लें,धुंवरेल्लें/NOUN
फाटीं,पीछे,फाटीं/NOUN
बिंदूचेर,बिंदु चक्र,बिंदूचेर/NOUN
धुंवरेल्लेंशें,धुंवरेल्लेंशें,धुंवरेल्लेंशें/NOUN
तांबडे,लाल,तांबडे/NOUN
सिलिंड्रीकल,सिलिंड्रीकल,सिलिंड्रीकल/NOUN
सदां,हमेशा,सदां/NOUN
घालचें,ढोल का,घालचें/NOUN
जिणेपद्दतीक,बेपरवाह,जिणेपद्दतीक/NOUN
आमचे,हमारा,आमचे/PRON
चुकीच्या,ग़लत,चुकीच्या/ADJ
आचार,आचार,आचार/NOUN
विचारान,सोच विचार,विचारान/NOUN
वेव्हारान,तंग करना,वेव्हारान/NOUN
अन्नान,अन्नान,अन्नान/NOUN
फुफुसांनी,फफस,फुफुसांनी/NOUN
नळयेंत,नळयेंत,नळयेंत/NOUN
जसजशे,जसजशे,जसजशे/NOUN
विकासाचे,विकास संबंधी,विकासाचे/NOUN
दिकेन,डाइक,दिकेन/NOUN
गेल्यात,में,गेल्यात/NOUN
संसर्गीक,संक्रामक,संसर्गीक/NOUN
मुक्ती,मुक्ति,मुक्ती/PRON
मेळयल्या,मिल सकता था,मेळयल्या/PRON
तसतशी,दूर से,तसतशी/NOUN
रीत,दिनचर्या,रीत/NOUN
बदलिल्ल्या,परिवर्तित,बदलिल्ल्या/NOUN
कॅन्सराच्या,कैंसर,कॅन्सराच्या/ADJ
काळजाच्या,गीला,काळजाच्या/ADJ
दुयेंसांचे,गुलदस्ता,दुयेंसांचे/NOUN
संख्येंत,संख्या में,संख्येंत/NOUN
वाड,गुच्छा,वाड/NOUN
जपानांत,जापान में,जपानांत/NOUN
पयल्या,"पहला,",पयल्या/NOUN
क्रमांकार,इकट्ठा,क्रमांकार/NOUN
विकसीत,विकसित,विकसीत/NOUN
देशांनी,देशों,देशांनी/NOUN
दुसर्‍या,एक और,दुसर्‍या/NOUN
विकसनशील,विकासशील,विकसनशील/NOUN
तिसर्‍या,तीसरा,तिसर्‍या/NOUN
आठांतल्यान,आठ से आठ तक,आठांतल्यान/NOUN
केन्नाय,कभी-कभी,केन्नाय/NOUN
चाली,कठोर,चाली/ADJ
रिती,रिती,रिती/NOUN
धर्म,धर्म,धर्म/NOUN
वाठारांनी,क्षेत्रों में,वाठारांनी/NOUN
प्रकारांनी,विभिन्न,प्रकारांनी/NOUN
देशाच्या,राष्ट्र,देशाच्या/ADJ
आंकड्यांची,तमाम,आंकड्यांची/NOUN
जुळोवणी,माचिस,जुळोवणी/NOUN
पळयल्यार,देखना,पळयल्यार/NOUN
शारांनी,शार्क द्वारा,शारांनी/NOUN
बायलां,तमाम,बायलां/NOUN
गर्भाशयाच्या,गर्भाशय,गर्भाशयाच्या/ADJ
मुखाचो,मुँह का,मुखाचो/ADJ
स्तनाचो,स्तन,स्तनाचो/ADJ
खेड्यांनी,गांवों द्वारा,खेड्यांनी/NOUN
बायलांक,औरत,बायलांक/NOUN
60,60,60/NOUN
65,65,65/NOUN
दादल्यां,पुरुषों,दादल्यां/NOUN
सेवनान,उपभोग,सेवनान/NOUN
प्रदुशणान,पोवोथाना,प्रदुशणान/NOUN
फुफुसांचो,फफुस्को,फुफुसांचो/ADJ
नळयेचो,पाइप नहीं,नळयेचो/ADJ
गुटख्यान,गुटकधा,गुटख्यान/NOUN
पान,पान,पान/NOUN
परागान,परागान,परागान/NOUN
खैनीन,खैनीन,खैनीन/NOUN
सुरतीन,सुरतीन,सुरतीन/NOUN
पोटांत,पेट में,पोटांत/NOUN
दुयेंसाचें,रोग -रोग,दुयेंसाचें/NOUN
नांव,नाम,नांव/NOUN
कॅन्सरांत,कैंसर में,कॅन्सरांत/NOUN
आंगांतल्यो,शरीर है,आंगांतल्यो/NOUN
आपूण,अपने आप को,आपूण/NOUN
गुणाकारान,गुणा,गुणाकारान/NOUN
वतात,इसलिए,वतात/VERB
नेम,नेम,नेम/NOUN
पाळिनाशिल्ले,आस्तिक-पाँच-गढ़,पाळिनाशिल्ले/ADJ
वरी,किराना,वरी/NOUN
कुडींतल्या,द रूम,कुडींतल्या/NOUN
भागांनीय,भाग,भागांनीय/NOUN
पावता,चालन बाहर तक पहुंचने के लिए।,पावता/NOUN
गांठीचें,गांठ,गांठीचें/NOUN
घायाचें,घायल,घायाचें/NOUN
रूप,रूप,रूप/NOUN
घेता,जाँच करना,घेता/NOUN
संपर्कांत,संपर्क,संपर्कांत/NOUN
येवपी,आना,येवपी/NOUN
1000,1000,1000/NOUN
दुयेंसांचो,रोगों की बीमारी,दुयेंसांचो/ADJ
चोंबो,टीम,चोंबो/NOUN
वेगळें,विशिष्ट,वेगळें/NOUN
आसलें,के साथ था,आसलें/NOUN
मुळांत,"मौलिक रूप से,",मुळांत/NOUN
शरिरांतल्यो,शरीर,शरिरांतल्यो/NOUN
अवेवस्थीत,अवेवस्थीत,अवेवस्थीत/NOUN
सामान्यपणान,सामान्यतया,सामान्यपणान/NOUN
सुसाध्य,सुसाध्य,सुसाध्य/NOUN
तुमोर,तुमोर,तुमोर/PRON
शल्यचिकित्सा,शल्यचिकित्सा,शल्यचिकित्सा/NOUN
काडूं,पहचानना,काडूं/NOUN
नासता,नाक,नासता/NOUN
जायनाशिल्ले,अगर वे नहीं थे,जायनाशिल्ले/ADJ
असाध्य,असाध्य,असाध्य/NOUN
लागींचे,हासकर,लागींचे/NOUN
पेशींपुंजुले,फेफड़े,पेशींपुंजुले/ADJ
आंगां,लेग्स,आंगां/NOUN
कॅन्सराच्यो,कैंसरचो,कॅन्सराच्यो/NOUN
भागांनी,आंशिक रूप में,भागांनी/NOUN
पसरूं,पसरूं,पसरूं/NOUN
वाडोवपी,आठवेंशन,वाडोवपी/NOUN
पसरपाक,पसरपाक,पसरपाक/VERB
दोतोरान,डॉक्टरों,दोतोरान/NOUN
रोखडीच,नकद,रोखडीच/NOUN
पळोवचें,देखना,पळोवचें/NOUN
म्हणून,इसलिए,म्हणून/PART
कळटकच,आप जानते हैं कि आप कब जानते हैं,कळटकच/NOUN
कॅन्सराक,कैनकेराक,कॅन्सराक/NOUN
अशीं,इसलिए,अशीं/NOUN
खूबशीं,कई लोग,खूबशीं/NOUN
पडूंक,गिरावट के लिए,पडूंक/NOUN
कॅन्सरूच,कैंसर -शराबी,कॅन्सरूच/NOUN
दुबाव,संदिग्ध व्यक्ति,दुबाव/NOUN
दाखयतात,शो,दाखयतात/VERB
खंयचोय,कोई बात नहीं क्या,खंयचोय/NOUN
काळ,समय,काळ/NOUN
पेखना,पेखना,पेखना/NOUN
भागांतल्यान,पकड़ से,भागांतल्यान/NOUN
आंगांतल्यान,शरीर है,आंगांतल्यान/NOUN
असादारणपणान,विनीत,असादारणपणान/NOUN
पूं,पूं,पूं/NOUN
एकसारकी,वर्दी,एकसारकी/NOUN
आवाज,आवाज,आवाज/NOUN
खाण,मेरा,खाण/NOUN
गिळपाक,निगलना,गिळपाक/VERB
जावपाक,होना,जावपाक/VERB
एकसारकें,ईस्ट,एकसारकें/NOUN
मलावरोध,प्रिसीन करना,मलावरोध/PRON
आंतकड्यांच्या,आंतों,आंतकड्यांच्या/ADJ
संवयांनी,सच कहूं,संवयांनी/NOUN
तिळाच्या,तिल,तिळाच्या/ADJ
चामखिळाच्या,पत्तेदार,चामखिळाच्या/ADJ
आकारांत,आकार का,आकारांत/NOUN
रंगांत,में,रंगांत/NOUN
दांतांच्य,दाँत,दांतांच्य/NOUN
वचून,जा रहा है,वचून/NOUN
म्हणूं,कहना,म्हणूं/PRON
नजो,नजो,नजो/NOUN
उरलीं,रगड़ रहा,उरलीं/NOUN
तांची,उनके स्वंय के,तांची/NOUN
कॅन्सरांचे,कैंसर,कॅन्सरांचे/NOUN
70,70,70/NOUN
रोखडेच,नकद,रोखडेच/NOUN
मात्तूय,मता भी,मात्तूय/PRON
बाबतींत,मामले में,बाबतींत/NOUN
वाडोवपाची,वंशावली,वाडोवपाची/NOUN
मनशान,एक व्यक्ति,मनशान/PRON
स्वताची,खुद,स्वताची/NOUN
वळखून,रिएकॉक,वळखून/NOUN
पिडेस्तांक,आलोचकों का कहना है,पिडेस्तांक/NOUN
मुळा,मूली,मुळा/PRON
जमूं,जमूं,जमूं/NOUN
खर्च,खर्च,खर्च/NOUN
वेळान,समय जब समय,वेळान/NOUN
खर्चा,खर्चा,खर्चा/NOUN
रावपा,बार आरामदेह और चिंतामुक्त,रावपा/NOUN
बायलांनी,बेली,बायलांनी/NOUN
